 Folio, Ejercicio, Mes, Fecha, Dia, Hora, Tipo_de_accidente, Resolución, Origen_de_reporte, Tipo_de_asentamiento, Nombre_de_asentamiento, Tipo_de_vialidad, Nombre_de_la_Vialidad, Georreferencia, Nota
5814,2021,ENERO,1/2/2021,SABADO,12:00:00,ESTRELLAMIENTO,FINIQUITADO,LLAMADA 911 PLANTA DE RADIO C4,COLONIA,NIÑOS HEROES,CARRETERA,CARRETERA COLOMBIA,"25.803517, -100.293745",PARTICULARES
5816,2021,ENERO,1/2/2021,SABADO,14:06:00,LATERAL,EN TRAMITE,LLAMADA 911 PLANTA DE RADIO C4,FRACCIONAMIENTO,PUERTA ANAHUAC,CARRETERA,CARRETERA LAREDO,"25.791765, -100.281323",PARTICULARES
5815,2021,ENERO,1/2/2021,SABADO,14:06:00,LATERAL,EN TRAMITE,LLAMADA 911 PLANTA DE RADIO C4,FRACCIONAMIENTO,PUERTA ANAHUAC,CARRETERA,CARRETERA LAREDO,"25.791765, -100.281323",PARTICULARES
5919,2021,ENERO,1/2/2021,SABADO,16:12:00,ESTRELLAMIENTO,EN TRAMITE,LLAMADA 911 PLANTA DE RADIO C4,FRACCIONAMIENTO,PRIVADAS DE ANAHUAC,AVENIDA,AV. BENITO JUAREZ,"25.778581, -100.277183",CFE
6081,2021,ENERO,1/2/2021,SABADO,23:40:00,CRUCERO,EN TRAMITE,LLAMADA 911 PLANTA DE RADIO C4,COLONIA,CENTRO,CALLE,ABASOLO,"25.808148, -100.328974",PARTICULARES
5858,2021,ENERO,1/2/2021,SABADO,12:00:00,SALIDA DE SUPERFICIE,FINIQUITADO,LLAMADA 911 PLANTA DE RADIO C4,COLONIA,SAN MIGUEL DE LOS GARZA,CARRETERA,CAMINO A LAS PEDRERAS,"25.834907, -100.410181",PARTICULARES
6046,2021,ENERO,1/3/2021,DOMINGO,0:26:00,ESTRELLAMIENTO,FINIQUITADO,LLAMADA 911 PLANTA DE RADIO C4,COLONIA,PASO CUCHARAS,CARRETERA,LIBRAMIENTO NOROESTE,"25.818954, -100.339968",PARTICULARES
5650,2021,ENERO,1/3/2021,DOMINGO,3:09:00,ESTRELLAMIENTO,EN TRAMITE,LLAMADA 911 PLANTA DE RADIO C4,COLONIA,PROVILEON,CALLE,CERRO DE QUETZAL,"25.782028, -100.334479",PARTICULARES
6096,2021,ENERO,1/3/2021,DOMINGO,15:15:00,ESTRELLAMIENTO,EN TRAMITE,LLAMADA 911 PLANTA DE RADIO C4,COLONIA,PARQUE INDUSTRIAL NEXXUS,AVENIDA,MANUEL L. BARRAGAN,"25.766686, -100.305184",MUNICIPALES
6002,2021,ENERO,1/4/2021,LUNES,10:40:00,ESTRELLAMIENTO,EN TRAMITE,LLAMADA 911 PLANTA DE RADIO C4,COLONIA,PEDREGAL DEL TOPO CHICO,CALLE,ELIU,"25.805166, -100.364628",MUNICIPALES
5748,2021,ENERO,1/5/2021,MARTES,13:30:00,ALCANCE,FINIQUITADO,LLAMADA 911 PLANTA DE RADIO C4,FRACCIONAMIENTO,RECIDENCIAL ESCOBEDO,AVENIDA,JUAREZ,"25.793358, -100.30819",PARTICULAR
5809,2021,ENERO,1/5/2021,MARTES,15:43:00,CRUCERO,FINIQUITADO,LLAMADA 911 PLANTA DE RADIO C4,COLONIA,PRADERAS DE SAN FRANCISCO,CARRETERA,CAMINO A LAS PEDRERAS,"25.820919, -100.398468",PARTICULAR
6105,2021,ENERO,1/5/2021,MARTES,23:01:00,LATERAL,EN TRAMITE,LLAMADA 911 PLANTA DE RADIO C4,COLONIA,DESARROLLO URBANO EL CANADA,AVENIDA,SENDERO,"25.766525, -100.305059",PARTICULAR
6004,2021,ENERO,1/6/2021,MIERCOLES,15:00:00,CRUCERO,FINIQUITADO,LLAMADA 911 PLANTA DE RADIO C4,COLONIA,VILLAS DE ESCOBEDO,AVENIDA,PINOS,"25.78575, -100.310014",PARTICULAR
5921,2021,ENERO,1/6/2021,MIERCOLES,18:03:00,"ALCANCE, PROYECCION,ESTRELLAMIENTO",EN TRAMITE,LLAMADA 911 PLANTA DE RADIO C4,COLONIA,PARQU INDUSTRIAL,CARRETERA,LIBRAMIENTO,"25.81754, -100.34728",PARTICULAR
6051,2021,ENERO,1/6/2021,MIERCOLES,22:02:00,LATERAL CON PROYECCION,FINIQUITADO,LLAMADA 911 PLANTA DE RADIO C4,COLONIA,FOMERREY 36,AVENIDA,ACUEDUCTO,"25.777056, -100.328376",PARTICULAR
6037,2021,ENERO,1/6/2021,MIERCOLES,22:29:00,CRUCERO,EN TRAMITE,LLAMADA 911 PLANTA DE RADIO C4,COLONIA,DESARROLLO URBANO EL CANADA,AVENIDA,SENDERO,"25.767717, -100.292834",PARTICULAR
5750,2021,ENERO,1/7/2021,JUEVES,7:52:00,LATERAL,EN TRAMITE,LLAMADA 911 PLANTA DE RADIO C4,COLONIA,FELIPE CARRILLO,AVENIDA,RAUL SALINAS,"25.78093, -100.318718",PARTICULAR
5413,2021,ENERO,1/7/2021,JUEVES,12:49:00,CRUCERO,FINIQUITADO,LLAMADA 911 PLANTA DE RADIO C4,COLONIA,SOCRATES RIZZO,CARRETERA,MONCLOVA,"25.819829, -100.294753",PARTICULAR
4782,2021,ENERO,1/8/2021,VIERNES,8:20:00,LATERAL CON SALIDA DE CAMINO,FINIQUITADO,LLAMADA 911 PLANTA DE RADIO C4,COLONIA,EGIDO SAN MIGUEL,CARRETERA,CAMINO A LAS PEDRERAS,"25.834907, -100.410181",PARTICULAR
6131,2021,ENERO,1/8/2021,VIERNES,13:36:00,ALCANCE,FINIUQUITADO,LLAMADA 911 PLANTA DE RADIO C4,COLONIA,BOSQUES DE ESCOBEDO,AVENIDA,RAUL SALINAS,"25.798788, -100.338229",PARTICULAR
6083,2021,ENERO,1/8/2021,VIERNES,20:24:00,LATERAL CON PROYECCION,FINIQUITADA,LLAMADA 911 PLANTA DE RADIO C4,COLONIA,NUESTRA SEÑORA DE FATIMA,AVENIDA,LAS TORRES,"25.794132, -100.308712",PARTICULAR
5674,2021,ENERO,1/9/2021,SABADO,12:10:00,LATERAL,FINIQUITADO,LLAMADA 911 PLANTA DE RADIO C4,COLONIA,VILLA LOS AYALA,AVENIDA,AV. RAUL SALINAS,"25.793146, -100.335852",PARTICULARES
