 Folio, Ejercicio, Mes, Fecha, Dia, Hora, Tipo_de_accidente, Resolución, Origen_de_reporte, Tipo_de_asentamiento, Nombre_de_asentamiento, Tipo_de_vialidad, Nombre_de_la_Vialidad, Georreferencia, Nota
210-845-658-1809,2021,ABRIL,4/1/2021,Jueves,1:48:00,CRUCERO,SOLUCIONADO,LLAMADA AL 911,COLONIA,PROVIVIENDA GUADALUPE,AVENIDA,AV. RUIZ CORTINES,"25.7088569, -100.1921136",
210-846-227-1811,2021,ABRIL,4/1/2021,Jueves,4:15:00,ESTRELLAMIENTO,SOLUCIONADO,LLAMADA AL 911,COLONIA,JARDINES DE SAN RAFAEL,AVENIDA,AV. LOPEZ MATEOS,"25.6966079, -100.2124758",
210-846-490-1812,2021,ABRIL,4/1/2021,Jueves,6:18:00,ESTRELLAMIENTO,SOLUCIONADO,LLAMADA AL 911,COLONIA,21 DE ENERO,AVENIDA,AV. MORONES PRIETO,"25.6837509, -100.2521299",
210-848-751-1816,2021,ABRIL,4/1/2021,Jueves,13:21:00,ALCANCE,SOLUCIONADO,LLAMADA AL 911,COLONIA,SIERRA MORENA,AVENIDA,AV. ELOY CAVAZOS,"25.6467718, -100.178938",
210-848-867-1817,2021,ABRIL,4/1/2021,Jueves,13:38:00,ALCANCE,SOLUCIONADO,LLAMADA AL 911,COLONIA,NUEVA LINDA VISTA,AVENIDA,AV. RUIZ CORTINES,"25.7028706, -100.2317346",
210-848-672-1818,2021,ABRIL,4/1/2021,Jueves,13:06:00,CRUCERO CON PROYECCIÓN,SOLUCIONADO,LLAMADA AL 911,COLONIA,VIVIENDA POPULAR,CALLE,LAZARO CARDENAS,"25.6687571, -100.2328688",
210-854-582-1829,2021,ABRIL,4/1/2021,Jueves,19:07:00,REVERSA,SOLUCIONADO,LLAMADA AL 911,FRACCIONAMIENTO,FRACC. AZTECA,CALLE,TARAHUMARA,"25.6870919, -100.2416526",
210-852-616-1831,2021,ABRIL,4/1/2021,Jueves,20:55:00,REVERSA,SOLUCIONADO,LLAMADA AL 911,COLONIA,LA PURISIMA,CALLE,SAN ALFONSO,"25.7056399, -100.2333773",
210-852-990-1832,2021,ABRIL,4/1/2021,Jueves,21:52:00,ESTRELLAMIENTO,SOLUCIONADO,LLAMADA AL 911,COLONIA,JARDINES DE ANDALUCIA,CALLE,JARDINES DE TOLEDO,"25.6530028, -100.1808312",
210-857-258-1840,2021,ABRIL,4/2/2021,Viernes,12:27:00,ALCANCE,SOLUCIONADO,LLAMADA AL 911,COLONIA,RINCÓN DE LA SIERRA,AVENIDA,AV. ELOY CAVAZOS,"25.6512466, -100.1975073",
210-859-237-1843,2021,ABRIL,4/2/2021,Viernes,16:58:00,FRONTAL,SOLUCIONADO,LLAMADA AL 911,COLONIA,LINDA VISTA,CALLE,LINDA VISTA,"25.6925752, -100.2337558",
