 Folio, Ejercicio, Mes, Fecha, Dia, Hora, Tipo_de_accidente, Resolución, Origen_de_reporte, Tipo_de_asentamiento, Nombre_de_asentamiento, Tipo_de_vialidad, Nombre_de_la_Vialidad, Georreferencia, Nota
442,2021,MAYO,5/1/2021,SABADO,15:43:00,LATERAL,PENDIENTE,CENTRAL DE RADIO,COLONIA,PORTAL DE JUAREZ,CALLE,SAN MATEO,"25.629991530073255, -100.10013890223499",
49,2021,MAYO,5/1/2021,SABADO,9:04:00,CRUCERO,SOLUCIONADO,CENTRAL DE RADIO,COLONIA,SANTA MONICA,CALLE,ACUEDUCTO,"25.6263249306689, -100.17396585990551",
443,2021,MAYO,5/1/2021,SABADO,16:56:00,DIVERSO,PENDIENTE,CENTRAL DE RADIO,COLONIA,EL SABINAL,AVENIDA,ARTURO B DE LA GARZA,"25.652880426353452, -100.11256633106991",
51,2021,MAYO,5/1/2021,SABADO,15:10:00,CRUCERO,SOLUCIONADO,CENTRAL DE RADIO,COLONIA,VISTAS DEL RIO,CALLE,VISTAS DE LAS FLORES,"25.66358328368584, -100.0947114733994",
449,2021,MAYO,5/2/2021,DOMINGO,12:56:00,ESTRELLAMIENTO,SOLUCIONADO,CENTRAL DE RADIO,COLONIA,TERRANOVA,CALLE,SIERRA DE LA LAGUNA,"25.670620753574994, -100.10584403106972",
52,2021,MAYO,5/2/2021,DOMINGO,4:31:00,ESTRELLAMIENTO,SOLUCIONADO,CENTRAL DE RADIO,COLONIA,PRIVADA LA SILLA,CALLE,CERRO DEL TANLLAL,"25.603640109672575, -100.17938890223539",
451,2021,MAYO,5/2/2021,DOMINGO,23:07:00,ESTRELLAMIENTO,SOLUCIONADO,CENTRAL DE RADIO,COLONIA,VALLE DE JUAREZ,AVENIDA,SAN ROQUE,"25.639908228461966, -100.15263255990529",
53,2021,MAYO,5/2/2021,DOMINGO,20:50:00,ALCANCE,SOLUCIONADO,CENTRAL DE RADIO,COLONIA,SANTA LUCIA,AVENIDA,ARTURO B DE LA GARZA,"25.655010868327302, -100.12327145990506",
452,2021,MAYO,5/2/2021,DOMINGO,22:14:00,ALCANCE,SOLUCIONADO,CENTRAL DE RADIO,COLONIA,REAL DE SAN JOSE,AVENIDA,TEOFILO SALINAS,"25.6518345979407, -100.08266670223476",
447,2021,MAYO,5/2/2021,DOMINGO,10:20:00,LATERAL,SOLUCIONADO,CENTRAL DE RADIO,COLONIA,CENTRO,CALLE,SAN MATEO,"25.64174152816413, -100.09343367339973",
55,2021,MAYO,5/3/2021,LUNES,15:32:00,ALCANCE,SOLUCIONADO,CENTRAL DE RADIO,COLONIA,SIERRA VISTA,AVENIDA,ELOY CAVAZOS,"25.642184711498775, -100.1610214599053",
